nomFonteGeracao,anoReferencia,mdaEnergiaDespachadaGWh
Oleo Diesel / Combustivel,2002,528.2953984769
Oleo Diesel / Combustivel,2003,265.3966219176
Oleo Diesel / Combustivel,2004,834.1302447699
Oleo Diesel / Combustivel,2005,959.3060731029999
Oleo Diesel / Combustivel,2006,699.0448274039001
Oleo Diesel / Combustivel,2007,429.3432303316
Oleo Diesel / Combustivel,2008,2074.6825328743
Oleo Diesel / Combustivel,2009,726.8479968013
Oleo Diesel / Combustivel,2010,3172.5324683495
Oleo Diesel / Combustivel,2011,3115.5165448605
Oleo Diesel / Combustivel,2012,6435.45062
Oleo Diesel / Combustivel,2013,13419.70688
Oleo Diesel / Combustivel,2014,22656.147360000003
Oleo Diesel / Combustivel,2015,20326.7110979722
Oleo Diesel / Combustivel,2016,7837.0910530134
Oleo Diesel / Combustivel,2017,9254.371949692299
Oleo Diesel / Combustivel,2018,6103.9189485315
Oleo Diesel / Combustivel,2019,2051.8413607886
Oleo Diesel / Combustivel,2020,437.21208
Residuos Processos Industriais,2000,0.0
Residuos Processos Industriais,2001,0.0
Residuos Processos Industriais,2002,0.0
Residuos Processos Industriais,2003,0.0
Residuos Processos Industriais,2004,0.0
Residuos Processos Industriais,2005,0.0
Residuos Processos Industriais,2006,0.0
Residuos Processos Industriais,2007,1448.9786018823
Residuos Processos Industriais,2008,3161.3282584044005
Residuos Processos Industriais,2009,1736.0760110306
Residuos Processos Industriais,2010,2477.7315900761996
Residuos Processos Industriais,2011,3625.0731224278006
Residuos Processos Industriais,2012,2805.87097
Residuos Processos Industriais,2013,2791.32744
Residuos Processos Industriais,2014,5699.29
Residuos Processos Industriais,2015,6474.0845454931
Residuos Processos Industriais,2016,8632.847213934101
Residuos Processos Industriais,2017,10483.43647434
Residuos Processos Industriais,2018,10360.1361655209
Residuos Processos Industriais,2019,9514.049608148802
Residuos Processos Industriais,2020,4778.28816
Residuos Processos Industriais,2017,524.2190517747999
Solar Fotovoltaica,2018,2526.2048155429998
Solar Fotovoltaica,2019,4330.705709846699
Solar Fotovoltaica,2020,2469.3338400000002
