ideAgenteCapacidadeInstalada,nomAgente,mdaPotenciaInstalada,mesReferencia,anoReferencia,dthProcessamento
79,Itaipu Binacional,7000000.00,12,2008,13/09/2017 00:00:00
80,Itaipu Binacional,7000000.00,12,2009,13/09/2017 00:00:00
81,Itaipu Binacional,7000000.00,12,2010,13/09/2017 00:00:00
82,Itaipu Binacional,7000000.00,12,2011,13/09/2017 00:00:00
83,Itaipu Binacional,7000000.00,12,2012,13/09/2017 00:00:00
84,Itaipu Binacional,7000000.00,12,2013,13/09/2017 00:00:00
85,Itaipu Binacional,7000000.00,12,2014,13/09/2017 00:00:00
86,Itaipu Binacional,7000000.00,12,2015,13/09/2017 00:00:00
87,Itaipu Binacional,7000000.00,12,2016,13/09/2017 00:00:00
88,Petroleo Brasileiro,2755756.00,12,2006,13/09/2017 00:00:00
89,Petroleo Brasileiro,2755756.00,12,2007,13/09/2017 00:00:00
90,Petroleo Brasileiro,4464356.00,12,2008,13/09/2017 00:00:00
91,Petroleo Brasileiro,4464356.00,12,2009,13/09/2017 00:00:00
92,Petroleo Brasileiro,5291067.00,12,2010,13/09/2017 00:00:00
93,Petroleo Brasileiro,6061401.00,12,2011,13/09/2017 00:00:00
94,Petroleo Brasileiro,6288421.00,12,2012,13/09/2017 00:00:00
95,Petroleo Brasileiro,6216665.00,12,2013,13/09/2017 00:00:00
96,Petroleo Brasileiro,6441075.00,12,2014,13/09/2017 00:00:00
97,Petroleo Brasileiro,6239225.00,12,2015,13/09/2017 00:00:00
98,Petróleo Brasileiro,6239224.60,12,2016,13/09/2017 00:00:00
99,RIO PARANA ENERGIA,4995200.00,12,2016,13/09/2017 00:00:00
100,Total Nacional,96294466.00,12,2006,13/09/2017 00:00:00
101,Total Nacional,100352440.00,12,2007,13/09/2017 00:00:00
102,Total Nacional,102609720.00,12,2008,13/09/2017 00:00:00
103,Total Nacional,106301120.00,12,2009,13/09/2017 00:00:00
104,Total Nacional,112399630.00,12,2010,13/09/2017 00:00:00
105,Total Nacional,117134724.00,12,2011,13/09/2017 00:00:00
106,Total Nacional,120609260.00,12,2012,13/09/2017 00:00:00
107,Total Nacional,126754659.00,12,2013,13/09/2017 00:00:00
108,Total Nacional,133635472.00,12,2014,13/09/2017 00:00:00
109,Total Nacional,140271642.00,12,2015,13/09/2017 00:00:00
110,Total Nacional,147945737.00,12,2016,13/09/2017 00:00:00
